production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
175000000.0,405760225.0,2008.0,2.35,112.0,9131.0,145000000.0,5.2
175000000.0,174131329.0,2007.0,2.35,96.0,108016.0,175000000.0,5.4
175000000.0,151659062.0,2013.0,2.35,128.0,20965.0,175000000.0,6.3
170000000.0,771172112.0,2014.0,2.35,121.0,32438.0,170000000.0,8.1
170000000.0,623561331.0,2010.0,2.35,124.0,48638.0,200000000.0,7.0
170000000.0,714401889.0,2014.0,2.35,136.0,36188.0,170000000.0,7.8
170000000.0,703545589.0,2014.0,1.85,130.0,14363.0,170000000.0,7.6
170000000.0,319090241.0,2004.0,2.35,100.0,16264.0,165000000.0,6.6
170000000.0,401016924.0,2012.0,2.35,132.0,72881.0,170000000.0,6.1
170000000.0,433058296.0,2003.0,2.35,109.0,1769.0,200000000.0,6.4
170000000.0,277279693.0,2016.0,1.85,113.0,80806.0,170000000.0,6.4
165000000.0,756244673.0,2010.0,2.35,93.0,4628.0,165000000.0,6.4
165000000.0,652127828.0,2014.0,2.39,102.0,2963.0,165000000.0,7.9
165000000.0,494870991.0,2010.0,2.35,98.0,20453.0,165000000.0,8.2
165000000.0,496511521.0,2012.0,2.35,101.0,4451.0,165000000.0,7.8
165000000.0,665417894.0,2014.0,2.35,169.0,31488.0,165000000.0,8.6
165000000.0,379262220.0,2016.0,2.35,120.0,3233.0,165000000.0,5.5
160000000.0,807330936.0,2007.0,1.85,93.0,4705.0,160000000.0,6.1
160000000.0,650523427.0,2015.0,2.35,137.0,81385.0,160000000.0,6.6
160000000.0,355408305.0,2011.0,2.35,132.0,50983.0,160000000.0,7.8
160000000.0,329809326.0,2008.0,2.35,166.0,13333.0,150000000.0,7.8
160000000.0,217986320.0,2010.0,2.35,109.0,13388.0,150000000.0,6.1
160000000.0,181674817.0,2006.0,2.35,98.0,92456.0,160000000.0,5.6
160000000.0,433125655.0,2016.0,2.35,123.0,5505.0,160000000.0,7.3
155000000.0,418186950.0,2010.0,1.78,113.0,764.0,155000000.0,6.3
155000000.0,440160956.0,2015.0,2.35,126.0,38873.0,155000000.0,6.6
155000000.0,167297191.0,2004.0,2.35,206.0,24598.0,155000000.0,5.5
151500000.0,449239855.0,2001.0,2.35,184.0,5401.0,140000000.0,6.1
150000000.0,1274234980.0,2013.0,2.24,102.0,2582.0,150000000.0,7.6
150000000.0,942943935.0,2007.0,2.35,138.0,33433.0,150000000.0,7.5
150000000.0,896911078.0,2005.0,2.35,157.0,53413.0,150000000.0,7.6
150000000.0,738576929.0,2003.0,2.35,138.0,534.0,150000000.0,7.2
150000000.0,585532684.0,2007.0,2.35,104.0,13076.0,150000000.0,7.2
150000000.0,624234272.0,2008.0,2.35,102.0,21584.0,150000000.0,6.4
150000000.0,626549695.0,2007.0,2.35,111.0,4764.0,150000000.0,8.0
150000000.0,644600394.0,2013.0,2.35,112.0,59803.0,170000000.0,7.1
150000000.0,359142722.0,2005.0,2.35,128.0,59558.0,150000000.0,8.3
150000000.0,700868363.0,2015.0,2.35,131.0,21840.0,150000000.0,7.4
150000000.0,449326618.0,2011.0,2.35,115.0,60059.0,150000000.0,7.0
150000000.0,599516844.0,2008.0,1.85,89.0,3285.0,150000000.0,6.7
150000000.0,374825760.0,2009.0,2.35,119.0,40054.0,150000000.0,6.7
